movimento_nome,codigo,codigo_pai,complemento,movimento,visibilidade_externa,dispositivo_legal,artigo,alteracoes,glossario,data_publicacao,data_alteracao,data_inativacao,data_reativacao,nivel_visual,tipo_item,fonte,caminho_codigos,caminho_rotulos
Registro Processual,12296,18,,Registrado para #{motivos_de_registro},Sim,,,,Indica o registro de feito para uma das finalidades indicadas no complemento respectivo (complementos tabelados: cadastramento de processos antigos; encaminhamento para verificação de prevenção; inquérito não distribuído (art. 2.º da Resolução CJF 63/2009); retificada a autuação),2018-06-26 00:00:00,2021-01-27 13:51:45,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 12296,Serventuário > Distribuidor > Registro Processual
Remessa,982,18,Identificador - destino;,Remetidos os Autos (#{motivo_da_remessa}) da Distribuição ao #{destino},Sim,,,,"Registra a remessa de autos da distribuição para outros órgãos, após as atividades de registro próprias da distribuição.",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 18 > 982,Serventuário > Distribuidor > Remessa
Escrivão/Diretor de Secretaria/Secretário Jurídico,48,14,,Ato praticado por Escrivão/Diretor de Secretaria/Secretário Jurídico,Sim,,,,Equivalente à Cisão.,2008-09-30 15:52:47,2009-10-01 12:57:48,,,1,M,78_Tabela_Movimentos_STJ.sql,14 > 48,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico
"Adiamento do julgamento (CPC, art. 935)",12102,48,,Adiado o julgamento para a primeira sessão seguinte,Sim,CPC,935,,Movimento utilizado para registrar o adiamento do julgamento para a primeira sessão seguinte.,2016-08-24 00:00:00,2024-09-26 13:30:36,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 12102,"Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Adiamento do julgamento (CPC, art. 935)"
Apensamento,135,48,Livre - Número de volumes e apensos; Identificador - Número do processo;,Apensado ao processo #{numero_do_processo},Sim,,,,Esse movimento deve ficar registrado nos dois processos (processo apensado e processo que recebeu o apenso).,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 135,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Apensamento
Arquivamento,861,48,Livre - Número de volumes e apensos;,Processo Arquivado,Sim,,,,,2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 861,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Arquivamento
Arquivamento Provisório - Aguardando Captura de Réu Condenado,14997,861,,Processo arquivado provisoriamente aguardando a captura de réu/condenado,Sim,,,,"Movimento a ser lançado em processos penais com sentença penal condenatória transitada em julgado ou em processos de execução penal, cujo trâmite processual dependa exclusivamente do cumprimento de mandado(s) de prisão expedido(s). A determinação de arquivamento provisório para aguardar captura do réu ou condenado pode ser proferida pelo magistrado em despachos, decisões ou sentenças e, caso não conste dos autos, o movimento pode ser lançado pela secretaria da unidade jurisdicional a título de ato ordinatório, desde que inexistam outras providências a serem adotadas no processo. O lançamento deste movimento retira o processo da taxa líquida de congestionamento e da contabilização de feitos paralisados há mais de N dias.",2021-12-03 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 861 > 14997,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Arquivamento > Arquivamento Provisório - Aguardando Captura de Réu Condenado
Definitivo,246,861,,Arquivado Definitivamente,Sim,,,,"Indica a ação de arquivamento definitivo do processo, nas situações em que não há expectativa de prosseguimento por situações normais. Inclui as hipóteses de omissão do vencedor da demanda de conhecimento em exercitar a execução.",2008-09-30 15:52:47,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 861 > 246,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Arquivamento > Definitivo
Ato cumprido pela parte ou interessado,12292,48,,Ato cumprido pela parte ou interessado,Sim,,,,,2018-06-26 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 12292,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado
Ato cumprido pela parte ou interessado (sem atributo),12293,12292,,Ato cumprido pela parte ou interessado,Sim,,,,Indica o cumprimento de determinação judicial pela parte que não seja comparecimento do réu/apenado nem depósito de bens/dinheiro.,2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 12292 > 12293,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado > Ato cumprido pela parte ou interessado (sem atributo)
Comparecimento do Réu/Apenado,12294,12292,,Ato cumprido pela parte ou interessado - Comparecimento do Réu/Apenado,Sim,,,,: Indica o cumprimento de determinação judicial pela parte que não seja comparecimento do réu/apenado nem depósito de bens/dinheiro.,2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 12292 > 12294,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado > Comparecimento do Réu/Apenado
Depósito de Bens/Dinheiro,12295,12292,,Ato cumprido pela parte ou interessado - depósito de bens/dinheiro,Sim,,,,: Indica o cumprimento de determinação judicial pela parte que não seja comparecimento do réu/apenado nem depósito de bens/dinheiro.,2018-06-26 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 12292 > 12295,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato cumprido pela parte ou interessado > Depósito de Bens/Dinheiro
Ato ordinatório,11383,48,,Ato ordinatório praticado,Sim,162,§ 4º,,"Art. 162 § 4o Os atos meramente ordinatórios, como a juntada e a vista obrigatória, independem de despacho, devendo ser praticados de ofício pelo servidor e revistos pelo juiz quando necessários. (Incluído pela Lei nº 8.952, de 13.12.1994) Aprovado na reunião do comitê gestor de tabelas dos dias 17 e 18/09/2009.",2009-10-01 00:00:00,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 11383,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Ato ordinatório
Audiência,970,48,"Livre - data, hora e local; Identificador - tipo de audiência (Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die). ; Identificador - Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.;","Audiência #{tipo_de_audiencia} #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2008-09-30 15:52:47,,,,2,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência
Admonitória,12739,970,,"Audiência admonitória #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,,2020-06-17 00:00:00,2020-06-17 14:36:57,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12739,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > Admonitória
Audiência de Depoimento Especial,15188,970,,Audiência de depoimento especial conduzida por #{dirigida_por} #{situacao_da_audiencia} para #{data_hora} #{local}. .,Sim,Lei nº 13.431/2017,"4º, § 1º, 8º, 10º e 11",,"Movimento usado para indicar a realização, a designação, a antecipação, o cancelamento, aa continuação, a não realização, a redesignação e a conversão em diligência de audiência de depoimento especial, que é o procedimento de oitiva de criança ou adolescente vítima ou testemunha de violência perante autoridade policial ou judiciária.",2022-12-06 18:04:02,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 15188,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > Audiência de Depoimento Especial
Audiência do art. 334 CPC,12624,970,,Audiência do art. 334 CPC conduzida por #{dirigida_por} #{situacao_da_audiencia} para #{data_hora} #{local}. .,Sim,,,,,2020-04-16 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12624,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > Audiência do art. 334 CPC
de Acolhimento,12741,970,,"Audiência de acolhimento #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,,2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12741,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Acolhimento
de Conciliação,12740,970,,"Audiência de conciliação #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12740,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Conciliação
de Custódia,12742,970,,"Audiência de custódia #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12742,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Custódia
de Instrução,12749,970,,"Audiência de instrução #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12749,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Instrução
de Instrução e Julgamento,12750,970,,"Audiência de instrução e julgamento #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12750,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Instrução e Julgamento
de Interrogatório,12743,970,,"Audiência de interrogatório #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12743,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Interrogatório
de Julgamento,12751,970,,"Audiência de julgamento #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12751,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Julgamento
de Justificação,12744,970,,"Audiência de justificação #{situacao_da_audiencia} conduzida por #{dirigida_por} em/para #{data_hora}, #{local}.",Sim,,,,"Indica as diversas situações relacionadas com a audiência, esta em suas diversas formas. Tipos de Audiência: Admonitória, Conciliação, De interrogatório, De justificação, Execução, Inicial, Instrução, Instrução e Julgamento, Julgamento, Preliminar, Una, sine die, entre outras. Situação da Audiência: designada, redesignada, cancelada, antecipada, realizada, não-realizada, convertida em diligência.",2020-06-17 00:00:00,,,,3,M,78_Tabela_Movimentos_STJ.sql,14 > 48 > 970 > 12744,Serventuário > Escrivão/Diretor de Secretaria/Secretário Jurídico > Audiência > de Justificação
